Cѓd Mun; Codigouf; Codigomunicipio; Estado; Nome; Capital (1=Sim;0=Nуo); Porte do Municэpio; Populaчуo 2016 (IBGE); Сrea da unidade territorial 2015 (kmВ) (IBGE Cidades); Densidade demogrсfica 2010 (hab/kmВ) (IBGE Cidades); PIB 2013 -  A preчos correntes (1000 R$) (IBGE) ; PIB per capita (R$) 2013 (IBGE); Эndice Firjan de Gestуo Fiscal (2015); Gastos saњde e educaчуo per capita; Эndice Fiscal 2016; Colocaчуo Nacional em Gastos e Finanчas Pњblicas; Colocaчуo Estadual em Gastos e Finanчas Pњblicas; "Municэpios com эndice 
(1=Sim; 0 Nуo)"; Status em Gastos e Finanчas; Variсvel do outlier; Terceirizaчуo serviчos bсsicos; Informatizaчуo; Articulaчуo institucional; Transparъncia; Planejamento Urbano; Servidores per capita; Comissionados ; Эndice Gestуo 2016; Colocaчуo Nacional em Qualidade da Gestуo; Colocaчуo Estadual em Qualidade da Gestуo; "Municэpios com эndice 
(1=Sim; 0 Nуo)2"; Status em Qualidade da Gestуo; Variсvel do outlier ; Qualidade habitacional; Atendimento mщdico; Vulnerabilidade; Educaчуo; IDHM; Mortalidade infantil; Эndice de Desempenho 2016; Colocaчуo Nacional em Desempenho; Colocaчуo Estadual em Desempenho; "Municэpios com эndice 
(1=Sim; 0 Nуo)3"; Status em Desempenho; Variсvel do outlier  ; IGM - 2016; Colocaчуo no IGM; Colocaчуo Estadual no IGM; "Municэpios com эndice 
(1=Sim; 0 Nуo)4"
4322251; 43; 22251; RS; TUPANDI; 0; Pequeno porte 1; 4.421; 59,54; 65,9; 315.219,63; 74.204,24; 0,771; 0,708; 0,740; 15К; 3К; 1; Com dados; ; 0,477; 1,000; 0,000; 0,850; 0,062; 0,500; 0,991; 0,554; 1842К; 284К; 1; Com dados; ; 0,986; 0,567; 0,955; 0,675; 0,656; 0,870; 0,785; 93К; 15К; 1; Com dados; ; 0,693; 21К; 2К; 1
3303302; 33; 3302; RJ; NITEROI; 0; Grande porte; 497.883; 133,92; 3.640,80; 19.908.508,36; 40.284,31; 0,789; 0,081; 0,435; 1178К; 26К; 1; Com dados; ; 0,729; 1,000; 0,835; 1,000; 0,759; 0,830; 0,988; 0,877; 5К; 1К; 1; Com dados; ; 0,949; 0,181; 0,910; 0,739; 0,940; 0,880; 0,767; 189К; 2К; 1; Com dados; ; 0,693; 22К; 1К; 1
5205471; 52; 5471; GO; CHAPADAO DO CEU; 0; Pequeno porte 1; 8.853; 2.185,12; 3,2; 920.448,16; 114.455,13; 0,685; 0,718; 0,702; 27К; 4К; 1; Com dados; ; 0,392; 1,000; 0,000; 0,880; 0,622; 0,622; 0,981; 0,643; 700К; 12К; 1; Com dados; ; 0,958; 0,244; 0,944; 0,637; 0,714; 0,881; 0,730; 562К; 11К; 1; Com dados; ; 0,691; 23К; 2К; 1
3552205; 35; 52205; SP; SOROCABA; 0; Grande porte; 652.481; 450,38; 1.304,20; 26.908.886,58; 42.764,72; 0,636; 0,360; 0,498; 546К; 121К; 1; Com dados; ; 0,872; 1,000; 0,194; 1,000; 0,881; 0,836; 0,999; 0,826; 23К; 6К; 1; Com dados; ; 0,959; 0,205; 0,895; 0,719; 0,847; 0,866; 0,748; 337К; 147К; 1; Com dados; ; 0,691; 24К; 10К; 1
4123501; 41; 23501; PR; SANTA HELENA; 0; Pequeno porte 2; 25.665; 758,23; 30,9; 626.156,82; 25.151,91; 0,718; 0,411; 0,564; 236К; 19К; 1; Com dados; ; 0,855; 1,000; 0,000; 0,980; 0,791; 0,784; 0,993; 0,772; 78К; 4К; 1; Com dados; ; 0,970; 0,239; 0,884; 0,740; 0,718; 0,862; 0,735; 485К; 45К; 1; Com dados; ; 0,690; 25К; 1К; 1
3301306; 33; 1306; RJ; CASIMIRO DE ABREU; 0; Pequeno porte 2; 41.167; 460,77; 76,7; 4.068.375,98; 105.694,07; 0,506; 0,733; 0,619; 113К; 3К; 1; Com dados; ; 0,855; 1,000; 0,000; 0,900; 0,900; 0,488; 0,991; 0,733; 181К; 6К; 1; Com dados; ; 0,954; 0,356; 0,861; 0,650; 0,675; 0,797; 0,716; 759К; 11К; 1; Com dados; ; 0,689; 26К; 2К; 1
3505500; 35; 5500; SP; BARRETOS; 0; Grande porte; 119.948; 1.566,16; 71,6; 3.347.124,55; 28.418,69; 0,712; 0,344; 0,528; 386К; 89К; 1; Com dados; ; 0,872; 1,000; 0,051; 0,681; 1,000; 0,760; 0,998; 0,766; 89К; 17К; 1; Com dados; ; 0,947; 0,224; 0,882; 0,805; 0,826; 0,956; 0,773; 147К; 76К; 1; Com dados; ; 0,689; 27К; 11К; 1
4304804; 43; 4804; RS; CARLOS BARBOSA; 0; Pequeno porte 2; 27.835; 229,99; 110,2; 1.462.421,26; 54.211,94; 0,625; 0,273; 0,449; 989К; 188К; 1; Com dados; ; 0,872; 1,000; 0,835; 1,000; 0,433; 0,843; 0,992; 0,853; 9К; 5К; 1; Com dados; ; 0,991; 0,212; 0,990; 0,671; 0,842; 0,864; 0,762; 225К; 39К; 1; Com dados; ; 0,688; 28К; 3К; 1
3508207; 35; 8207; SP; BURITIZAL; 0; Pequeno porte 1; 4.377; 266,42; 15,2; 251.010,66; 58.661,06; 0,520; 0,764; 0,642; 73К; 11К; 1; Com dados; ; 0,251; 1,000; 0,106; 0,721; 0,641; 0,766; 0,990; 0,639; 735К; 85К; 1; Com dados; ; 0,985; 0,589; 0,855; 0,740; 0,697; 0,821; 0,781; 103К; 54К; 1; Com dados; ; 0,688; 29К; 12К; 1
5001904; 50; 1904; MS; BATAGUASSU; 0; Pequeno porte 2; 22.084; 2.417,60; 8,2; 492.873,37; 23.312,52; 0,817; 0,318; 0,567; 230К; 9К; 1; Com dados; ; 0,621; 1,000; 1,000; 0,850; 0,647; 0,766; 0,996; 0,840; 15К; 1К; 1; Com dados; ; 0,958; 0,144; 0,795; 0,566; 0,637; 0,786; 0,648; 1929К; 19К; 1; Com dados; ; 0,685; 30К; 1К; 1
4314902; 43; 14902; RS; PORTO ALEGRE; 1; Grande porte; 1.481.019; 496,68; 2.837,50; 57.379.336,78; 39.091,64; 0,637; 0,354; 0,495; 567К; 125К; 1; Com dados; ; 1,000; 1,000; 0,000; 1,000; 0,939; 0,881; 0,997; 0,831; 21К; 8К; 1; Com dados; ; 0,956; 0,209; 0,892; 0,525; 0,864; 0,916; 0,727; 604К; 88К; 1; Com dados; ; 0,684; 31К; 4К; 1
